Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin %,Gross Income,Rating,Customer ID,Age,Membership Duration (Years),Visit Frequency
INV000001,B,Naypyitaw,Member,Female,Food and beverages,29.53,4,5.91,124.03,2019-01-01,15:30,Cash,118.12,4.76,5.91,6.2,C00344,61,6,6
INV000002,A,Yangon,Member,Male,Food and beverages,25.36,3,3.8,79.88,2019-01-02,18:30,Cash,76.08,4.76,3.8,6.2,C00700,33,3,16
INV000003,B,Naypyitaw,Member,Female,Health and beauty,34.25,1,1.71,35.96,2019-01-03,16:45,Cash,34.25,4.76,1.71,9.2,C00777,43,5,6
INV000004,C,Mandalay,Normal,Female,Sports and travel,61.88,3,9.28,194.92,2019-01-04,9:45,Cash,185.64,4.76,9.28,7.7,C00566,59,4,22
INV000005,C,Mandalay,Normal,Male,Electronic accessories,72.82,5,18.2,382.3,2019-01-05,9:30,Ewallet,364.1,4.76,18.2,8.3,C00217,62,9,19
INV000006,A,Yangon,Normal,Male,Health and beauty,40.13,4,8.03,168.55,2019-01-06,15:30,Credit card,160.52,4.76,8.03,9.1,C00773,59,7,13
INV000007,C,Mandalay,Normal,Female,Health and beauty,34.47,3,5.17,108.58,2019-01-07,13:30,Credit card,103.41,4.76,5.17,7.9,C00613,64,3,5
INV000008,C,Mandalay,Member,Male,Fashion accessories,39.02,4,7.8,163.88,2019-01-08,14:00,Ewallet,156.07999999999998,4.76,7.8,8.0,C00734,54,7,11
INV000009,B,Naypyitaw,Member,Female,Home and lifestyle,46.95,6,14.09,295.79,2019-01-09,19:45,Cash,281.70000000000005,4.76,14.09,9.5,C00640,45,9,11
INV000010,C,Mandalay,Member,Male,Health and beauty,38.42,5,9.61,201.71,2019-01-10,12:00,Credit card,192.10000000000002,4.76,9.61,7.1,C00664,32,6,13
INV000011,B,Naypyitaw,Member,Male,Fashion accessories,45.3,5,11.33,237.83,2019-01-11,8:00,Credit card,226.5,4.76,11.33,8.7,C00053,61,6,8
INV000012,A,Yangon,Normal,Female,Home and lifestyle,62.32,5,15.58,327.18,2019-01-12,8:00,Credit card,311.6,4.76,15.58,6.7,C00349,20,4,8
INV000013,A,Yangon,Member,Female,Home and lifestyle,49.28,3,7.39,155.23,2019-01-13,8:30,Ewallet,147.84,4.76,7.39,6.5,C00151,48,3,11
INV000014,B,Naypyitaw,Member,Male,Electronic accessories,73.09,8,29.24,613.96,2019-01-14,10:45,Cash,584.72,4.76,29.24,9.1,C00920,28,1,12
INV000015,C,Mandalay,Normal,Female,Sports and travel,45.6,6,13.68,287.28,2019-01-15,8:45,Ewallet,273.59999999999997,4.76,13.68,8.0,C00816,37,8,12
INV000016,C,Mandalay,Member,Female,Health and beauty,35.98,5,8.99,188.89,2019-01-16,20:30,Cash,179.89999999999998,4.76,8.99,9.6,C00027,51,5,5
INV000017,B,Naypyitaw,Member,Female,Health and beauty,40.21,3,6.03,126.66,2019-01-17,20:15,Ewallet,120.63,4.76,6.03,9.5,C00892,58,5,21
INV000018,B,Naypyitaw,Member,Male,Home and lifestyle,49.31,3,7.4,155.33,2019-01-18,10:45,Cash,147.93,4.76,7.4,8.2,C00735,20,8,18
INV000019,A,Yangon,Member,Female,Fashion accessories,49.41,3,7.41,155.64,2019-01-19,14:00,Cash,148.23,4.76,7.41,9.2,C00867,42,8,17
INV000020,A,Yangon,Member,Female,Health and beauty,37.75,3,5.66,118.91,2019-01-20,19:30,Credit card,113.25,4.76,5.66,6.1,C00354,19,7,23
INV000021,B,Naypyitaw,Member,Male,Fashion accessories,40.53,3,6.08,127.67,2019-01-21,19:45,Ewallet,121.59,4.76,6.08,7.8,C00774,62,4,19
INV000022,C,Mandalay,Member,Male,Sports and travel,58.33,4,11.67,244.99,2019-01-22,19:15,Credit card,233.32000000000002,4.76,11.67,7.0,C00474,40,9,16
INV000023,B,Naypyitaw,Normal,Male,Electronic accessories,71.36,4,14.27,299.71,2019-01-23,13:00,Credit card,285.44,4.76,14.27,6.2,C00154,33,3,9
INV000024,A,Yangon,Member,Female,Food and beverages,41.22,2,4.12,86.56,2019-01-24,11:00,Cash,82.44,4.76,4.12,9.1,C00341,56,4,5
INV000025,B,Naypyitaw,Member,Male,Food and beverages,37.21,4,7.44,156.28,2019-01-25,15:00,Ewallet,148.84,4.76,7.44,6.7,C00792,33,7,6
INV000026,A,Yangon,Normal,Male,Home and lifestyle,42.82,4,8.56,179.84,2019-01-26,12:45,Credit card,171.28,4.76,8.56,9.3,C00168,27,2,23
INV000027,B,Naypyitaw,Member,Male,Health and beauty,49.76,5,12.44,261.24,2019-01-27,20:45,Ewallet,248.8,4.76,12.44,9.2,C00761,53,5,13
INV000028,B,Naypyitaw,Normal,Male,Home and lifestyle,49.8,5,12.45,261.45,2019-01-28,19:00,Credit card,249.0,4.76,12.45,9.0,C00217,52,9,21
INV000029,B,Naypyitaw,Normal,Male,Sports and travel,61.62,5,15.4,323.5,2019-01-29,17:30,Ewallet,308.1,4.76,15.4,6.4,C00396,42,4,8
INV000030,C,Mandalay,Normal,Male,Health and beauty,39.35,5,9.84,206.59,2019-01-30,18:30,Cash,196.75,4.76,9.84,9.9,C00009,27,1,10
INV000031,A,Yangon,Member,Male,Food and beverages,22.09,4,4.42,92.78,2019-01-31,8:15,Ewallet,88.36,4.76,4.42,9.8,C00217,62,4,8
INV000032,B,Naypyitaw,Member,Male,Home and lifestyle,50.4,5,12.6,264.6,2019-02-01,9:45,Cash,252.00000000000003,4.76,12.6,6.2,C00476,25,9,11
INV000033,C,Mandalay,Member,Female,Food and beverages,30.29,3,4.54,95.41,2019-02-02,19:00,Ewallet,90.86999999999999,4.76,4.54,6.2,C00149,33,6,15
INV000034,C,Mandalay,Member,Female,Sports and travel,55.78,7,19.52,409.98,2019-02-03,14:00,Credit card,390.46000000000004,4.76,19.52,7.1,C00736,33,8,10
INV000035,B,Naypyitaw,Member,Male,Sports and travel,53.24,3,7.99,167.71,2019-02-04,16:45,Credit card,159.72,4.76,7.99,8.8,C00145,26,1,24
INV000036,B,Naypyitaw,Normal,Male,Food and beverages,27.21,2,2.72,57.14,2019-02-05,12:30,Ewallet,54.42,4.76,2.72,7.7,C00824,47,2,17
INV000037,A,Yangon,Member,Male,Health and beauty,41.29,6,12.39,260.13,2019-02-06,10:30,Ewallet,247.74,4.76,12.39,6.1,C00823,23,1,9
INV000038,C,Mandalay,Member,Male,Fashion accessories,51.16,6,15.35,322.31,2019-02-07,10:00,Ewallet,306.96,4.76,15.35,6.8,C00449,57,2,12
INV000039,A,Yangon,Member,Male,Electronic accessories,64.9,7,22.72,477.02,2019-02-08,12:00,Cash,454.29999999999995,4.76,22.72,8.8,C00435,56,6,6
INV000040,B,Naypyitaw,Normal,Male,Electronic accessories,68.65,3,10.3,216.25,2019-02-09,13:00,Credit card,205.95,4.76,10.3,7.6,C00759,59,3,21
INV000041,C,Mandalay,Member,Female,Sports and travel,60.64,4,12.13,254.69,2019-02-10,18:30,Credit card,242.56,4.76,12.13,6.3,C00761,40,7,20
INV000042,A,Yangon,Normal,Male,Fashion accessories,42.59,4,8.52,178.88,2019-02-11,20:45,Cash,170.35999999999999,4.76,8.52,8.4,C00051,36,5,9
INV000043,B,Naypyitaw,Member,Female,Electronic accessories,69.46,2,6.95,145.87,2019-02-12,8:15,Cash,138.92000000000002,4.76,6.95,8.8,C00073,43,9,19
INV000044,B,Naypyitaw,Normal,Female,Fashion accessories,39.82,3,5.97,125.43,2019-02-13,8:30,Ewallet,119.46000000000001,4.76,5.97,9.9,C00303,39,7,18
INV000045,B,Naypyitaw,Normal,Male,Food and beverages,32.0,2,3.2,67.2,2019-02-14,19:00,Cash,64.0,4.76,3.2,7.8,C00739,32,9,9
INV000046,A,Yangon,Member,Male,Health and beauty,36.08,3,5.41,113.65,2019-02-15,11:00,Cash,108.24000000000001,4.76,5.41,9.2,C00109,35,4,19
INV000047,C,Mandalay,Member,Male,Health and beauty,39.94,5,9.98,209.68,2019-02-16,8:00,Cash,199.70000000000002,4.76,9.98,6.9,C00582,21,8,13
INV000048,A,Yangon,Normal,Female,Home and lifestyle,41.81,1,2.09,43.9,2019-02-17,13:15,Credit card,41.81,4.76,2.09,9.5,C00646,47,8,10
INV000049,B,Naypyitaw,Member,Male,Health and beauty,43.2,5,10.8,226.8,2019-02-18,17:15,Cash,216.0,4.76,10.8,8.3,C00139,53,3,5
INV000050,B,Naypyitaw,Member,Male,Electronic accessories,65.93,4,13.19,276.91,2019-02-19,12:00,Ewallet,263.72,4.76,13.19,6.5,C00911,41,6,7
INV000051,B,Naypyitaw,Normal,Female,Health and beauty,43.34,6,13.0,273.04,2019-02-20,20:45,Credit card,260.04,4.76,13.0,9.2,C00270,47,3,9
